Best sequence step-by-step:
{'t0': 99, 'd': 7, 'masina_index': 8, 'munka_index': 9}
{'t0': 108, 'd': 1, 'masina_index': 9, 'munka_index': 9}
{'t0': 48, 'd': 8, 'masina_index': 0, 'munka_index': 2}
{'t0': 64, 'd': 8, 'masina_index': 1, 'munka_index': 2}
{'t0': 72, 'd': 2, 'masina_index': 2, 'munka_index': 2}
{'t0': 74, 'd': 1, 'masina_index': 3, 'munka_index': 2}
{'t0': 78, 'd': 9, 'masina_index': 4, 'munka_index': 2}
{'t0': 90, 'd': 3, 'masina_index': 5, 'munka_index': 2}
{'t0': 93, 'd': 8, 'masina_index': 6, 'munka_index': 2}
{'t0': 101, 'd': 1, 'masina_index': 7, 'munka_index': 2}
{'t0': 106, 'd': 2, 'masina_index': 8, 'munka_index': 2}
{'t0': 109, 'd': 1, 'masina_index': 9, 'munka_index': 2}
